"","open","high","low","close","volume","marketCap","timestamp","coin"
"1","0.7242572673","10532375667","0.6916784398","0.9672188577",2750905879,0,2020-06-01,"AR"
"2","0.9682286915","15189196893","0.9062398889","1.3092851082",3741671625,0,2020-06-08,"AR"
"3","1.3049349353","19607034027","1.1279832019","1.7763777725",610677977,0,2020-06-15,"AR"
"4","1.7742948167","19145967272","1.4444858139","1.5181117056",712991121,0,2020-06-22,"AR"
"5","1.5181117056","18478748228","1.3832057007","1.6605793759",551797804,0,2020-06-29,"AR"
"6","1.6680189615","17490566444","1.4553132097","1.478699155",245738918,0,2020-07-06,"AR"
"7","1.478699155","17262574212","1.478699155","1.7097748471",129634664,0,2020-07-13,"AR"
"8","1.7145406176","18420851704","1.5081941641","1.7165727788",150010052,0,2020-07-20,"AR"
"9","1.7165493424","17165493424","1.4926375414","1.5368967774",146775883,0,2020-07-27,"AR"
"10","1.5397849568","2452182242","1.4954124614","2.203287826",411572412,0,2020-08-03,"AR"
"11","2.17086354","348907941","2.1348553","3.40342401",3708801056,0,2020-08-10,"AR"
"12","3.40342401","383076244","2.56257772","3.70706767",4602975569,0,2020-08-17,"AR"
"13","3.70840735","738856648","0.06136653","6.44938609",4724171253,0,2020-08-24,"AR"
"14","6.45402949","743300844","4.04720696","5.12206148",8527036617,17104971154,2020-08-31,"AR"
"15","5.12206148","531045146","4.19973011","4.60194329",4359144637,15368052004,2020-09-07,"AR"
"16","4.60879769","462951394","3.29177913","3.48736912",2153217672,11645964919,2020-09-14,"AR"
"17","3.44652902","44287025","2.76185866","3.36405433",166580944,11234158839,2020-09-21,"AR"
"18","3.37063349","554905974","3.36173305","4.14719254",3477359232,13849425482,2020-09-28,"AR"
"19","4.14903606","544927001","3.49753867","4.79511641",3626784295,16013147883,2020-10-05,"AR"
"20","4.79806139","499224644","2.8801161","3.27503239",3569663725,10936872745,2020-10-12,"AR"
"21","3.25042984","325042984","2.52122797","2.91603238",2228923076,973800293,2020-10-19,"AR"
"22","2.91603238","297613646","2.15435652","2.32147654",1760010344,7752501483,2020-10-26,"AR"
"23","2.32147654","256648757","1.69284302","2.23551579",2183225063,7465438153,2020-11-02,"AR"
"24","2.23551682","244012027","2.08169633","2.283571",1838585383,762591707,2020-11-09,"AR"
"25","2.28356992","275843174","2.28356992","2.59471855",2294157069,8664985025,2020-11-16,"AR"
"26","2.59469634","284776107","2.22026667","2.28569003",2326647305,7632993503,2020-11-23,"AR"
"27","2.28565757","243623938","2.06545046","2.25052715",2188511068,7515568139,2020-11-30,"AR"
"28","2.25078721","236299755","2.03661016","2.29842057",1323481598,7675506782,2020-12-07,"AR"
"29","2.29803235","278539063","2.13433221","2.49605273",1548051028,8335493463,2020-12-14,"AR"
"30","2.49459778","280881026","2.19418992","2.25330963",1436073079,7524860133,2020-12-21,"AR"
"31","2.25042176","279467801","2.19829178","2.57339582",2255512702,8593778399,2020-12-28,"AR"
"32","2.56541246","412570793","2.463819","4.09389199",3686854649,13671429893,2021-01-04,"AR"
"33","4.09518002","474109536","3.08007843","4.62148918",5528576442,1543332494,2021-01-11,"AR"
"34","4.62149882","623865092","4.22752787","6.05468723",8746727404,20219446976,2021-01-18,"AR"
"35","6.05419743","621561504","4.63977668","4.80839172",30781172053,16057480389,2021-01-25,"AR"
"36","4.80837903","599150588","4.67879134","5.48251663",5149857674,18308700353,2021-02-01,"AR"
"37","5.48033543","771468547","5.16401157","6.88504707",698661654,22992408833,2021-02-08,"AR"
"38","6.87560607","801387351","5.75621634","7.19948454",6667477577,24042463352,2021-02-15,"AR"
"39","7.23113477","1320269369","5.59712897","9.28819334",14145669919,31017643936,2021-02-22,"AR"
"40","9.2897336","1730047988","8.93396205","13.49839285",12405765022,45077479327,2021-03-01,"AR"
"41","13.49654917","167596783","12.42171552","14.8503643",9650777801,49592347553,2021-03-08,"AR"
"42","14.84870228","2329341954","12.16324903","21.31242148",10678825989,71172194292,2021-03-15,"AR"
"43","21.31442666","3102272102","19.0727102","27.02670701",15164552771,90254879971,2021-03-22,"AR"
"44","27.02213583","3422877025","25.36311565","27.28475729",16054063065,91116631147,2021-03-29,"AR"
"45","27.30966603","3273191928","26.15626635","27.86250128",130814280,9304598994,2021-04-05,"AR"
"46","27.85975944","3140997023","20.15066018","24.2350987",14854130848,80932387474,2021-04-12,"AR"
"47","24.17211297","2836561821","16.74031992","27.46768101",12911753759,91727499453,2021-04-19,"AR"
"48","27.46369466","3209448852","26.69652711","26.824382",13385082143,89579221646,2021-04-26,"AR"
"49","26.82114295","286922918","23.63603924","23.95674741",10778985734,80002841675,2021-05-03,"AR"
"50","23.95864941","4502908598","22.7197196","23.82303889",41773146236,79556326051,2021-05-10,"AR"
"51","23.90394792","2593818924","9.91171076","13.23995486",21936876987,44214433388,2021-05-17,"AR"
"52","13.29581897","1889896389","11.99819283","14.21537558",15386443803,4747182172,2021-05-24,"AR"
"53","14.21634159","1924738417","12.52777912","15.72128987",15643895789,52500777454,2021-05-31,"AR"
"54","15.68913667","2229728376","13.57809397","15.68096516",25958974707,52366114297,2021-06-07,"AR"
"55","15.78643981","1907607021","14.64897784","18.40140842",16721748731,61450953212,2021-06-14,"AR"
"56","18.44706536","1844706536","8.2814704","10.31770898",15556393577,34455680643,2021-06-21,"AR"
"57","10.25084522","1244466309","9.64512729","10.96466498",10457789116,36616170855,2021-06-28,"AR"
"58","10.92502074","1291414359","10.23548025","11.36536872",991801551,37954309032,2021-07-05,"AR"
"59","11.36487441","1144893025","8.16365552","9.03162368",7129423645,30160837218,2021-07-12,"AR"
"60","9.01231045","1094336573","7.1070517","10.01180995",7437610787,33434139963,2021-07-19,"AR"
"61","10.02859612","1380627763","8.8900968","11.52957826",16345037747,38502681868,2021-07-26,"AR"
"62","11.50570176","1649723732","10.70593923","14.9656194",13437517257,49977238521,2021-08-02,"AR"
"63","14.92438247","1686392677","13.89435485","16.84768762",894786661,56262349059,2021-08-09,"AR"
"64","16.83819406","3586042076","16.78914412","28.82169287",77067804861,96249181571,2021-08-16,"AR"
"65","28.82162737","500317512","23.62307444","42.55928342",8367949865,142125454473,2021-08-23,"AR"
"66","42.65860042","7004322691","39.0319013","50.09644151",158184423356,167295568535,2021-08-30,"AR"
"67","50.07421756","7403313188","42.02520183","59.77938102",126937692357,199631455507,2021-09-06,"AR"
"68","59.81283317","5983610693","47.9520166818","49.7760108207",35433788922,166225499833,2021-09-13,"AR"
"69","49.7222814003","54820028989","34.1988801004","43.2031032465",43809082825,144275471519,2021-09-20,"AR"
