"theDate","opening","opening","highest","lowest","closing","volume","marketcap","CoinSymbol","CoinDesc"
"2013-04-01",135.3000030518,135.3000030518,147.4880065918,132.1000061035,139,0,1542813125,"BTC","Bitcoin"
"2013-05-01",139,139,139.8899993896,79.0999984741,129,0,1447870200,"BTC","Bitcoin"
"2013-06-01",128.8150024414,128.8150024414,129.7799987793,88.5,96.6139984131,0,1096957771,"BTC","Bitcoin"
"2013-07-01",97.5100021362,97.5100021362,111.34400177,65.5260009766,106.0899963379,0,1218777834,"BTC","Bitcoin"
"2013-08-01",106.2129974365,106.2129974365,140.8899993896,101.2109985352,135.3500061035,0,1574672051,"BTC","Bitcoin"
"2013-09-01",135.1399993896,135.1399993896,146.5,118.4599990845,133,0,1566038425,"BTC","Bitcoin"
"2015-09-01",1.3534799814,1.3534799814,1.3927400112,0.5570619702,0.7386440039,619926,54351468.24,"ETH",""
"2015-10-01",0.7343069911,0.7343069911,1.3450499773,0.420897007,0.9166269898,673892,68163368,"ETH",""
"2015-11-01",0.9208469987,0.9208469987,1.1064200401,0.7256649733,0.8731189966,784439,65589555.37,"ETH",""
"2015-12-01",0.8783159852,0.8783159852,1.0453699827,0.7704880238,0.9335420132,663994,70858023,"ETH",""
"2016-01-01",0.9337120056,0.9337120056,2.836990118,0.9298350215,2.3060400486,5847500,176834424,"ETH",""
"2016-02-01",2.3196899891,2.3196899891,6.6474099159,2.1163098812,6.3369898796,7648020,490556570,"ETH",""
"2016-03-01",6.3193101883,6.3193101883,15.2571001053,6.3088498116,11.4034996033,14966700,896764774.2,"ETH",""
"2016-04-01",11.4006004333,11.4006004333,11.850399971,7.0589799881,8.8139801025,36573300,701473017,"ETH",""
"2016-05-01",8.7750797272,8.7750797272,15.0481996536,8.4323596954,14.0773000717,42433400,1134278934.03,"ETH",""
"2016-06-01",14.1098003387,14.1098003387,21.5226993561,9.963640213,12.4615001678,15801300,1016130567,"ETH",""
"2016-07-01",12.4380998611,12.4380998611,14.898900032,9.576259613,11.8759002686,25441400,980174931.48,"ETH",""
"2016-08-01",11.8948001862,11.8948001862,12.4577999115,8.2009801865,11.6724004745,11073700,975003119.29,"ETH",""
"2016-09-01",11.6704998016,11.6704998016,14.4341001511,11.2524003983,13.2248001099,5950840,1117517388.26,"ETH",""
"2016-10-01",13.2032003403,13.2032003403,13.5310001373,9.5632696152,10.9982004166,13393900,940578264,"ETH",""
