CryptoAbb,opening,highest,lowest,closing,volume,marketCap,theDate
BTC,26228.27786,26774.62336,26171.45185,26539.67444,13811359124,5.17141E+11,2023-09-13
BTC,26533.81884,26840.49793,26240.70063,26608.69336,11479735788,5.18517E+11,2023-09-14
BTC,26606.19865,26754.77018,26473.89078,26568.28129,7402031417,5.17755E+11,2023-09-15
BTC,26567.92758,26617.99763,26445.07513,26534.18752,6774210670,5.17117E+11,2023-09-16
BTC,26532.99479,27414.73426,26415.51585,26754.28104,15615339655,5.21432E+11,2023-09-17
BTC,26760.85101,27488.7638,26681.60577,27211.11782,13807690550,5.30358E+11,2023-09-18
BTC,27210.22849,27379.50607,26864.08232,27132.00734,13281116604,5.28842E+11,2023-09-19
BTC,27129.84002,27152.93858,26389.30029,26567.6329,13371443708,5.17864E+11,2023-09-20
BTC,26564.05617,26726.07803,26495.53241,26579.56864,10578746709,5.18118E+11,2023-09-21
BTC,26578.55593,26634.18598,26520.51983,26579.38974,7404700301,5.1814E+11,2023-09-22
BTC,26579.37399,26716.05846,26221.05,26256.82579,8192867686,5.11877E+11,2023-09-23
BTC,26253.7753,26421.50836,26011.46962,26298.47955,11997833257,5.12712E+11,2023-09-24
BTC,26294.75867,26389.88478,26090.7124,26217.24934,9985498161,5.11151E+11,2023-09-25
BTC,26209.49835,26817.84232,26111.46438,26352.71762,11718380997,5.13819E+11,2023-09-26
BTC,26355.81239,27259.49922,26327.32171,27021.54676,14079002707,5.26884E+11,2023-09-27
BTC,27024.84171,27225.93843,26721.7628,26911.7216,10396435377,5.24766E+11,2023-09-28
BTC,26911.68918,27091.79551,26888.9678,26967.9163,5331172801,5.25886E+11,2023-09-29
BTC,26967.39743,28047.23771,26965.09429,27983.75038,9503917434,5.45719E+11,2023-09-30
BTC,27976.79915,28494.45964,27347.78758,27530.78489,19793041322,5.36913E+11,2023-10-01
BTC,27508.25182,27667.19203,27216.00132,27429.97902,11407814187,5.34975E+11,2023-10-02
BTC,27429.075,27826.65795,27248.10625,27799.3941,11143355314,5.42203E+11,2023-10-03
BTC,27798.64713,28091.86124,27375.60142,27415.91198,11877253670,5.34747E+11,2023-10-04
BTC,27412.12242,28252.53757,27215.55245,27946.59678,13492391599,5.45127E+11,2023-10-05
BTC,27946.78163,28028.09209,27870.42346,27968.83887,6553044316,5.4559E+11,2023-10-06
BTC,27971.67811,28102.17039,27740.66302,27935.08958,7916875290,5.44958E+11,2023-10-07
BTC,27934.47216,27989.4709,27302.56192,27583.67859,12007668568,5.38128E+11,2023-10-08
BTC,27589.2011,27715.84835,27301.65508,27391.01952,9973350678,5.34398E+11,2023-10-09
BTC,27392.07555,27474.11619,26561.09937,26873.32112,13648094333,5.24325E+11,2023-10-10
BTC,26873.29249,26921.4389,26558.32078,26756.79864,9392909295,5.22078E+11,2023-10-11
USDT,1.000275754,1.000763314,0.999822253,1.000259906,21251601415,83056304743,2023-09-13
USDT,1.000253313,1.000756965,0.999842154,1.000342677,19295499486,83068071509,2023-09-14
USDT,1.000111317,1.000913152,0.999987435,1.000297634,14317870597,83066639636,2023-09-15
USDT,1.000278222,1.000937665,1.000112004,1.000292113,12731066338,83066181172,2023-09-16
USDT,1.000253877,1.000886302,0.999911697,1.000238298,23169510106,83061712247,2023-09-17
USDT,1.000140402,1.000894354,0.999989297,1.0002627,19869924197,83113458690,2023-09-18
USDT,1.000206928,1.000653379,0.999903802,1.000206905,20831080166,83179583605,2023-09-19
USDT,1.000185511,1.000637746,0.999699485,0.999986312,65289803093,83189877817,2023-09-20
USDT,0.999918715,1.000552513,0.999663368,1.000009442,16422421266,83191802035,2023-09-21
USDT,1.000015749,1.000452713,0.999874649,1.000067415,12105054638,83206968038,2023-09-22
USDT,1.000064899,1.000675865,0.999886438,1.000135314,13177215723,83215000422,2023-09-23
USDT,1.000132245,1.000600661,0.999495028,0.999784835,18410794811,83185839260,2023-09-24
USDT,0.999718512,1.000562281,0.999471637,0.999606226,17449026978,83175118304,2023-09-25
USDT,0.999554881,0.999995676,0.999089724,0.999386044,21012429240,83215726279,2023-09-26
USDT,0.999455565,1.00082079,0.998987715,1.000016933,23496469874,83272626075,2023-09-27
USDT,1.000062154,1.000844505,0.999691463,1.000042115,33744855887,83280080892,2023-09-28
USDT,1.000067426,1.000596073,0.999802586,1.000209857,28335840810,83261517290,2023-09-29
USDT,1.000192782,1.000616293,0.999769872,0.999894184,26887832164,83246238290,2023-09-30
USDT,1.000027317,1.001006219,0.999801897,1.000332515,33775951107,83284732156,2023-10-01
USDT,1.000262527,1.000508736,0.999741786,1.000091652,28992376862,83348500371,2023-10-02
USDT,1.000021662,1.000561465,0.999771477,1.000436558,21138935230,83401486689,2023-10-03
USDT,1.000286782,1.000645908,0.999906127,1.000088731,18816329985,83374294633,2023-10-04
USDT,1.000037205,1.000638089,0.999885054,1.000435743,19152176768,83403223968,2023-10-05
USDT,1.00043902,1.000775871,1.000271703,1.000549648,11006329208,83496810775,2023-10-06
USDT,1.000588442,1.000800177,1.00027074,1.000460155,12488411034,83512853315,2023-10-07
USDT,1.000455587,1.001181669,0.999878014,1.000080912,20684218429,83481196250,2023-10-08
USDT,1.000196302,1.000823617,0.999859071,1.000088306,17384784047,83502317447,2023-10-09
USDT,1.000064921,1.000661128,0.999569047,0.999752053,19945698427,83498301346,2023-10-10
USDT,0.999748742,1.000567279,0.999477564,0.999707791,16234691731,83497626922,2023-10-11
ETH,1608.031629,1640.522745,1607.735382,1626.974326,5538958553,1.95599E+11,2023-09-13
ETH,1626.870128,1652.113162,1613.248674,1641.640344,4348584771,1.97363E+11,2023-09-14
ETH,1641.446457,1649.988659,1632.577844,1635.221712,2819575929,1.96592E+11,2023-09-15
ETH,1635.201096,1635.512979,1616.779318,1622.896753,3032716258,1.95112E+11,2023-09-16
ETH,1623.081927,1669.015397,1609.957407,1637.346988,5916674789,1.96851E+11,2023-09-17
ETH,1637.312047,1659.531725,1628.413154,1643.544657,4405868861,1.97597E+11,2023-09-18
ETH,1643.495308,1649.619127,1610.420833,1622.890607,5156431986,1.95115E+11,2023-09-19
ETH,1622.591776,1625.20453,1573.305836,1584.307063,5191732312,1.90478E+11,2023-09-20
ETH,1584.002578,1601.537751,1579.101366,1593.26833,3460791634,1.91556E+11,2023-09-21
ETH,1593.213108,1598.001669,1588.329009,1593.857747,2101436678,1.91628E+11,2023-09-22
ETH,1593.825699,1600.207262,1576.783333,1580.853362,3086456944,1.90066E+11,2023-09-23
ETH,1580.747472,1595.844112,1565.025557,1588.322868,4394930984,1.90966E+11,2023-09-24
ETH,1588.023168,1598.097818,1580.16554,1593.417193,3544861160,1.9158E+11,2023-09-25
ETH,1593.108255,1631.910782,1585.368854,1597.491226,5533036096,1.92073E+11,2023-09-26
ETH,1597.672008,1666.024139,1597.294728,1652.882746,6658092168,1.98734E+11,2023-09-27
ETH,1652.999878,1687.28125,1648.656516,1667.943833,5529687537,2.00547E+11,2023-09-28
ETH,1667.834491,1692.531165,1666.563877,1671.161811,3155292192,2.00936E+11,2023-09-29
